Site;Fence;Gap;Species;H11;D11
5;Exclosure;Light;Tilia;140;15.9
5;Exclosure;Light;Picea;61;13.9
5;Exclosure;Light;Quercus;217;18
5;Exclosure;Light;Carpinus;155;19.4
5;Exclosure;Light;Acer;180;15.1
5;Exclosure;Light;Picea;129;17.9
5;Exclosure;Light;Tilia;105;17
5;Exclosure;Light;Quercus;77;7.3
5;Exclosure;Light;Carpinus;199;15
5;Exclosure;Light;Tilia;166.5;26.5
5;Exclosure;Light;Picea;158;25.1
5;Exclosure;Light;Acer;207;16.4
5;Exclosure;Light;Quercus;177;15.2
5;Exclosure;Light;Acer;213;18.4
5;Exclosure;Light;Carpinus;170;15.5
5;Exclosure;Light;Tilia;130;20.5
5;Exclosure;Light;Picea;84.5;13
5;Exclosure;Light;Acer;40;8.3
5;Exclosure;Light;Picea;119.5;13.3
5;Exclosure;Light;Carpinus;239.5;18.6
5;Exclosure;Light;Quercus;150;12.9
5;Exclosure;Light;Tilia;134;13.2
5;Exclosure;Light;Quercus;114;11.2
5;Exclosure;Light;Carpinus;184.5;14
5;Exclosure;Light;Acer;64;7.3
5;Exclosure;Light;Tilia;109;13.7
5;Control;Light;Carpinus;34;10.2
5;Control;Light;Carpinus;54.5;10.7
5;Control;Light;Acer;32;4.5
5;Control;Light;Quercus;54;10
5;Control;Light;Carpinus;38.5;10.1
5;Control;Light;Picea;47;11.7
5;Control;Light;Tilia;37;9.5
5;Control;Light;Acer;20.5;7
5;Control;Light;Carpinus;39;10.5
5;Control;Light;Tilia;48.5;8.3
5;Control;Light;Acer;43.5;6.9
5;Control;Light;Tilia;59;11.6
5;Control;Light;Quercus;67.5;8.8
5;Control;Light;Picea;76.5;16.5
5;Control;Light;Quercus;NA;NA
5;Control;Light;Acer;47;7
5;Control;Light;Carpinus;59;10.4
5;Control;Light;Quercus;49;5.6
5;Control;Light;Acer;58.5;7
5;Control;Light;Tilia;30;6.7
5;Control;Light;Picea;NA;NA
5;Control;Light;Acer;32.5;5.9
5;Control;Light;Quercus;73.5;11.5
5;Control;Light;Carpinus;34;8.8
5;Control;Light;Tilia;41;11.5
5;Control;Light;Tilia;31;8.5
5;Control;Light;Quercus;69;7.6
6;Exclosure;Dark;Quercus;64;6.9
6;Exclosure;Dark;Tilia;67;13.1
6;Exclosure;Dark;Acer;60;7.3
6;Exclosure;Dark;Picea;54.5;10
6;Exclosure;Dark;Carpinus;68;10
6;Exclosure;Dark;Tilia;88;9.2
6;Exclosure;Dark;Carpinus;38;6.7
6;Exclosure;Dark;Quercus;61;5.3
6;Exclosure;Dark;Picea;64;11.7
6;Exclosure;Dark;Acer;52;7.8
6;Exclosure;Dark;Carpinus;77;7.2
6;Exclosure;Dark;Picea;41;9.2
6;Exclosure;Dark;Acer;81;7.2
6;Exclosure;Dark;Quercus;72;8.3
6;Exclosure;Dark;Tilia;85;13.2
6;Exclosure;Dark;Carpinus;35;6.7
6;Exclosure;Dark;Tilia;64;12.2
6;Exclosure;Dark;Picea;49.5;9.7
6;Exclosure;Dark;Quercus;67;10.8
6;Exclosure;Dark;Acer;54;7.1
6;Exclosure;Dark;Quercus;79;8.3
6;Exclosure;Dark;Tilia;40;10.1
6;Exclosure;Dark;Picea;49.5;13.9
6;Exclosure;Dark;Carpinus;57;10.4
6;Exclosure;Dark;Acer;44;4.7
6;Exclosure;Dark;Picea;46;8.5
6;Exclosure;Dark;Quercus;71;9
6;Exclosure;Dark;Acer;67;8.8
6;Exclosure;Dark;Carpinus;52;11.3
6;Control;Dark;Tilia;33;9
6;Control;Dark;Acer;43.5;7.1
6;Control;Dark;Acer;66.5;8.1
6;Control;Dark;Quercus;NA;NA
6;Control;Dark;Picea;NA;NA
6;Control;Dark;Tilia;43,5;8.5
6;Control;Dark;Acer;52;7.9
6;Control;Dark;Carpinus;59.5;11.9
6;Control;Dark;Tilia;44;6.7
6;Control;Dark;Quercus;85.5;10.5
6;Control;Dark;Quercus;71.5;9.5
6;Control;Dark;Picea;40.5;11.6
6;Control;Dark;Tilia;35;8.1
6;Control;Dark;Carpinus;38.5;7.6
6;Control;Dark;Tilia;47;9.5
6;Control;Dark;Tilia;38.5;8.5
6;Control;Dark;Quercus;71;8.1
6;Control;Dark;Carpinus;45;9.9
6;Control;Dark;Carpinus;51.5;10
6;Control;Dark;Picea;39.5;10.7
6;Control;Dark;Carpinus;52;9.7
6;Control;Dark;Acer;39;5.4
6;Control;Dark;Carpinus;35.5;9.8
6;Control;Dark;Acer;47.5;5.9
6;Control;Dark;Quercus;73;9.6
6;Control;Dark;Quercus;49.4;7.9
6;Control;Dark;Picea;42.5;10.9
6;Control;Dark;Acer;57;8.6
6;Exclosure;Light;Picea;129;21.7
6;Exclosure;Light;Carpinus;166;15.9
6;Exclosure;Light;Acer;75.5;7.5
6;Exclosure;Light;Picea;94;11.7
6;Exclosure;Light;Picea;74.5;11.1
6;Exclosure;Light;Quercus;152.5;15.1
6;Exclosure;Light;Carpinus;181;19.1
6;Exclosure;Light;Quercus;250;19.3
6;Exclosure;Light;Acer;192;17
6;Exclosure;Light;Quercus;210;25
6;Exclosure;Light;Tilia;113;14.6
6;Exclosure;Light;Tilia;157;24.2
6;Exclosure;Light;Acer;290;21.4
6;Exclosure;Light;Picea;113;15.6
6;Exclosure;Light;Carpinus;150;11
6;Exclosure;Light;Quercus;205;17.7
6;Exclosure;Light;Tilia;172;24.5
6;Exclosure;Light;Acer;240;16.9
6;Exclosure;Light;Carpinus;203;17
6;Exclosure;Light;Tilia;164;17.7
6;Exclosure;Light;Picea;88;18.3
6;Exclosure;Light;Acer;145;15
6;Exclosure;Light;Quercus;196;15
6;Exclosure;Light;Carpinus;238;22.7
6;Exclosure;Light;Quercus;104;7.8
6;Exclosure;Light;Tilia;145;18.1
6;Exclosure;Light;Carpinus;75;6.5
6;Exclosure;Light;Acer;113;14.8
6;Exclosure;Light;Picea;106;16.5
6;Control;Light;Tilia;49.5;10
6;Control;Light;Picea;55;10.3
6;Control;Light;Tilia;36;11.5
6;Control;Light;Quercus;50;8.9
6;Control;Light;Acer;15.5;3.4
6;Control;Light;Picea;5.9;11.8
6;Control;Light;Acer;32;5.1
6;Control;Light;Tilia;51;10.4
6;Control;Light;Carpinus;NA;NA
6;Control;Light;Picea;50.5;12.4
6;Control;Light;Quercus;58.5;7.4
6;Control;Light;Quercus;55;8.5
6;Control;Light;Tilia;56;12.3
6;Control;Light;Carpinus;2;NA
6;Control;Light;Quercus;48;8
6;Control;Light;Tilia;52;9.6
6;Control;Light;Picea;56;12.8
6;Control;Light;Picea;75;14.5
6;Control;Light;Tilia;55;10.1
6;Control;Light;Carpinus;56;9
6;Control;Light;Quercus;74.5;10.2
6;Control;Light;Carpinus;95;8.9
6;Control;Light;Carpinus;63;12.5
6;Control;Light;Acer;31;6.2
6;Control;Light;Picea;77;14.6
